CustomerID,Age,Gender,Income,Occupation,ShoppingFrequency,AverageTransactionValue,FavoriteProductType,VisitTime,PaymentMethod,CustomerFeedback,LoyaltyProgramParticipation,PurchaseHistory,AnnualExpenditure,MallStayDuration,ResidentialArea,Cluster
CUST1026,55,Male,22990,Engineer,8,370.82,Groceries,Evening,Debit Card,Very Dissatisfied,Yes,Fashion,72502,123,Rural,4
CUST1027,28,Female,120765,Teacher,13,167.52,Beauty,Morning,Credit Card,Dissatisfied,Yes,Fashion,43410,67,Urban,0
CUST1028,57,Female,199315,Freelancer,15,66.25,Beauty,Afternoon,Cash,Very Satisfied,Yes,Groceries,41698,146,Urban,3
CUST1029,63,Female,123877,Manager,14,107.9,Beauty,Afternoon,Debit Card,Very Satisfied,Yes,Groceries,68639,61,Rural,2
CUST1030,51,Female,47436,Manager,1,118.43,Electronics,Morning,Debit Card,Satisfied,No,Groceries,9555,102,Suburban,1
CUST1031,24,Female,88614,Engineer,10,54.7,Electronics,Evening,Debit Card,Very Dissatisfied,Yes,Electronics,67010,104,Suburban,2
CUST1032,49,Male,196058,Engineer,6,400.65,Electronics,Afternoon,Credit Card,Satisfied,Yes,Mixed,36820,64,Suburban,3
CUST1033,31,Male,85360,Manager,13,439.75,Groceries,Morning,Credit Card,Satisfied,No,Groceries,37804,37,Rural,5
CUST1034,61,Female,164603,Teacher,4,25.9,Electronics,Evening,Credit Card,Satisfied,Yes,Mixed,50486,126,Suburban,6
CUST1035,42,Male,162977,Teacher,3,50.14,Electronics,Evening,Cash,Satisfied,Yes,Mixed,24359,75,Urban,3
CUST1036,26,Male,167328,Manager,3,315.23,Fashion,Evening,Credit Card,Very Dissatisfied,No,Electronics,66900,50,Rural,6
CUST1037,61,Female,150214,Teacher,10,352.78,Electronics,Morning,Debit Card,Neutral,No,Electronics,84163,74,Urban,6
CUST1038,33,Male,72083,Doctor,3,151.45,Fashion,Evening,Cash,Very Satisfied,No,Fashion,64453,109,Urban,4
CUST1039,31,Male,64192,Doctor,4,108.52,Technology,Evening,Cash,Dissatisfied,Yes,Mixed,9134,99,Urban,5
CUST1040,28,Male,98174,Teacher,2,112.9,Technology,Morning,Credit Card,Satisfied,No,Electronics,30758,89,Suburban,5
CUST1041,19,Female,109626,Student,13,398.3,Electronics,Afternoon,Debit Card,Very Dissatisfied,Yes,Mixed,54720,99,Rural,0
CUST1042,69,Male,106740,Freelancer,11,401.86,Technology,Morning,Cash,Dissatisfied,Yes,Mixed,2958,56,Rural,5
CUST1043,48,Male,135095,Engineer,9,25.44,Technology,Morning,Credit Card,Very Dissatisfied,Yes,Electronics,42608,46,Suburban,0
CUST1044,45,Male,177380,Engineer,6,224.03,Beauty,Afternoon,Credit Card,Satisfied,No,Fashion,82193,32,Urban,6
CUST1045,45,Female,190027,Teacher,12,405.8,Technology,Morning,Credit Card,Very Satisfied,Yes,Mixed,87829,82,Rural,6
CUST1046,56,Female,25018,Freelancer,8,223.33,Electronics,Evening,Debit Card,Very Satisfied,Yes,Groceries,42017,168,Urban,1
CUST1047,51,Female,63630,Doctor,9,226.34,Beauty,Evening,Debit Card,Very Dissatisfied,Yes,Electronics,97563,121,Suburban,4
CUST1048,53,Male,154776,Doctor,9,248.28,Fashion,Afternoon,Cash,Very Satisfied,Yes,Mixed,68025,51,Urban,6
CUST1049,60,Female,187326,Student,14,442.1,Fashion,Morning,Credit Card,Very Dissatisfied,No,Electronics,52733,92,Urban,3
CUST1050,19,Male,159040,Student,9,287.16,Fashion,Evening,Credit Card,Neutral,Yes,Groceries,26888,70,Suburban,7
CUST1051,67,Male,195757,Engineer,9,488.46,Technology,Evening,Credit Card,Neutral,No,Electronics,76531,106,Rural,6
CUST1052,50,Female,36999,Doctor,9,81.18,Electronics,Evening,Credit Card,Dissatisfied,No,Groceries,2048,97,Suburban,1
CUST1053,23,Female,153239,Doctor,1,107.86,Electronics,Evening,Credit Card,Dissatisfied,No,Groceries,97130,133,Rural,6
CUST1054,66,Male,49868,Doctor,6,377.8,Beauty,Afternoon,Mobile Wallet,Neutral,No,Mixed,33376,80,Rural,1
CUST1055,51,Male,116137,Teacher,5,482.88,Electronics,Afternoon,Cash,Neutral,Yes,Groceries,27336,47,Urban,0
CUST1056,35,Male,24963,Teacher,8,129.5,Electronics,Evening,Mobile Wallet,Very Dissatisfied,Yes,Mixed,81971,43,Urban,4
CUST1057,29,Female,73310,Manager,10,33.02,Beauty,Evening,Debit Card,Neutral,No,Mixed,86018,113,Urban,4
CUST1058,43,Female,132230,Freelancer,6,273.87,Beauty,Afternoon,Debit Card,Dissatisfied,Yes,Fashion,53240,96,Urban,0
CUST1059,70,Male,138809,Freelancer,10,382.89,Technology,Afternoon,Cash,Very Dissatisfied,No,Groceries,70357,91,Suburban,2
CUST1060,47,Female,44903,Engineer,12,450.44,Groceries,Morning,Credit Card,Satisfied,No,Groceries,22141,104,Rural,1
CUST1061,61,Female,167330,Student,5,379.2,Electronics,Afternoon,Credit Card,Dissatisfied,No,Groceries,61496,135,Urban,6
CUST1062,28,Male,117307,Manager,10,64.64,Technology,Afternoon,Debit Card,Dissatisfied,No,Electronics,88315,44,Rural,2
CUST1063,54,Female,26875,Student,4,485.96,Technology,Afternoon,Mobile Wallet,Satisfied,Yes,Electronics,37727,93,Suburban,1
CUST1064,22,Male,31562,Engineer,1,379.75,Groceries,Morning,Debit Card,Very Dissatisfied,Yes,Fashion,57686,74,Rural,1
CUST1065,21,Female,77758,Student,12,104.77,Electronics,Evening,Cash,Very Satisfied,No,Electronics,3178,135,Urban,5
CUST1066,51,Male,119103,Freelancer,10,112.77,Electronics,Morning,Cash,Dissatisfied,Yes,Fashion,35790,155,Suburban,0
CUST1067,36,Male,127761,Student,9,171.51,Technology,Afternoon,Credit Card,Very Satisfied,Yes,Mixed,68542,158,Urban,2
CUST1068,29,Female,106851,Student,13,228.92,Electronics,Afternoon,Cash,Dissatisfied,No,Mixed,75208,36,Suburban,2
CUST1069,32,Male,47156,Teacher,3,62.42,Electronics,Evening,Debit Card,Neutral,No,Groceries,91585,141,Rural,4
CUST1070,64,Female,123880,Student,9,220.65,Fashion,Morning,Mobile Wallet,Very Dissatisfied,No,Electronics,82451,78,Rural,2
CUST1071,55,Female,33938,Doctor,2,136.36,Technology,Morning,Mobile Wallet,Satisfied,No,Groceries,76684,70,Urban,4
CUST1072,25,Male,147414,Teacher,7,189.67,Technology,Evening,Cash,Very Satisfied,No,Fashion,12354,31,Rural,7
CUST1073,33,Male,39633,Student,1,100.08,Beauty,Morning,Debit Card,Neutral,Yes,Groceries,52134,125,Urban,1
CUST1074,59,Male,152536,Engineer,3,76.97,Technology,Evening,Debit Card,Dissatisfied,Yes,Fashion,32338,39,Urban,7
CUST1075,32,Male,131522,Freelancer,10,386.09,Fashion,Afternoon,Credit Card,Very Satisfied,No,Electronics,3911,126,Suburban,7
CUST1076,49,Male,132169,Engineer,4,130.24,Beauty,Morning,Credit Card,Satisfied,Yes,Groceries,58337,60,Urban,0
CUST1077,65,Male,74671,Freelancer,9,40.51,Technology,Morning,Cash,Very Dissatisfied,No,Fashion,83175,160,Suburban,4
CUST1078,40,Female,72113,Doctor,2,252.71,Electronics,Morning,Mobile Wallet,Dissatisfied,No,Groceries,9210,120,Rural,5
CUST1079,60,Male,132717,Doctor,3,313.61,Groceries,Evening,Cash,Very Satisfied,No,Mixed,19948,111,Suburban,7
CUST1080,19,Male,50566,Manager,10,52.13,Groceries,Evening,Mobile Wallet,Very Satisfied,Yes,Groceries,70926,166,Urban,4
CUST1081,45,Female,149387,Freelancer,6,223.59,Beauty,Morning,Debit Card,Neutral,Yes,Mixed,75916,62,Rural,6
CUST1082,29,Male,136582,Student,9,208.81,Groceries,Morning,Debit Card,Very Dissatisfied,No,Electronics,98552,67,Rural,2
CUST1083,25,Female,61013,Freelancer,5,189.11,Electronics,Afternoon,Debit Card,Very Satisfied,Yes,Electronics,19402,53,Urban,5
CUST1084,63,Male,149810,Doctor,5,159.49,Groceries,Morning,Mobile Wallet,Very Satisfied,No,Groceries,38332,161,Urban,7
CUST1085,56,Male,70139,Doctor,8,166.03,Groceries,Morning,Credit Card,Very Dissatisfied,No,Groceries,26556,138,Urban,5
CUST1086,69,Female,59679,Doctor,14,370.88,Beauty,Morning,Credit Card,Neutral,Yes,Fashion,90575,170,Rural,4
CUST1087,69,Male,158398,Student,10,473.61,Electronics,Afternoon,Credit Card,Neutral,Yes,Mixed,45386,60,Urban,3
CUST1088,26,Male,79140,Freelancer,9,106.12,Groceries,Evening,Credit Card,Very Dissatisfied,No,Mixed,42134,157,Suburban,5
CUST1089,28,Male,111489,Teacher,9,498.66,Beauty,Evening,Cash,Satisfied,Yes,Groceries,63043,140,Rural,0
CUST1090,30,Male,57283,Doctor,10,45.6,Technology,Afternoon,Cash,Very Satisfied,No,Mixed,36716,44,Urban,1
CUST1091,46,Male,50128,Student,1,285.44,Electronics,Afternoon,Debit Card,Very Satisfied,Yes,Electronics,85923,130,Rural,4
CUST1092,36,Female,172203,Student,6,385.82,Beauty,Afternoon,Mobile Wallet,Satisfied,Yes,Groceries,48445,153,Urban,3
CUST1093,31,Male,40910,Engineer,14,72.03,Technology,Morning,Credit Card,Satisfied,No,Mixed,38768,179,Suburban,1
CUST1094,28,Female,178685,Doctor,4,324.52,Fashion,Evening,Credit Card,Neutral,Yes,Electronics,48308,74,Rural,3
CUST1095,62,Male,138494,Freelancer,10,146.48,Beauty,Afternoon,Debit Card,Neutral,No,Mixed,70432,31,Suburban,2
CUST1096,59,Male,117220,Freelancer,6,415.72,Electronics,Evening,Debit Card,Satisfied,Yes,Groceries,99227,82,Urban,2
CUST1097,49,Female,145309,Freelancer,4,48.32,Technology,Evening,Debit Card,Dissatisfied,Yes,Mixed,92553,79,Rural,6
CUST1098,65,Female,191352,Teacher,6,121.4,Fashion,Morning,Cash,Very Dissatisfied,No,Groceries,83440,128,Rural,6
CUST1099,62,Female,121254,Doctor,15,290.41,Groceries,Afternoon,Debit Card,Dissatisfied,No,Fashion,67312,58,Suburban,0
CUST1100,26,Male,60632,Manager,5,313.21,Groceries,Morning,Credit Card,Dissatisfied,Yes,Fashion,23919,114,Rural,5
CUST1101,45,Female,88867,Teacher,8,173.94,Technology,Evening,Debit Card,Satisfied,No,Electronics,81092,139,Suburban,2
CUST1102,44,Female,92008,Teacher,7,215.01,Electronics,Evening,Debit Card,Very Dissatisfied,No,Groceries,26021,66,Rural,5
CUST1103,45,Male,55996,Doctor,5,365.73,Electronics,Morning,Cash,Very Dissatisfied,Yes,Electronics,11156,98,Suburban,1
CUST1104,70,Female,198702,Manager,1,464.79,Technology,Morning,Debit Card,Dissatisfied,No,Mixed,45038,71,Rural,3
CUST1105,57,Female,191944,Student,6,498.28,Technology,Afternoon,Mobile Wallet,Very Satisfied,No,Mixed,12607,60,Urban,3
CUST1106,29,Male,147924,Teacher,2,190.49,Beauty,Afternoon,Debit Card,Satisfied,Yes,Groceries,85274,142,Rural,6
CUST1107,52,Female,145962,Doctor,14,282.89,Groceries,Afternoon,Credit Card,Neutral,Yes,Electronics,11021,36,Rural,7
CUST1108,41,Female,61719,Engineer,12,327.63,Technology,Evening,Mobile Wallet,Very Dissatisfied,No,Mixed,87257,160,Suburban,4
CUST1109,54,Female,185887,Engineer,10,376.83,Groceries,Evening,Credit Card,Satisfied,No,Fashion,30039,30,Urban,3
CUST1110,21,Female,50661,Doctor,1,321.2,Electronics,Evening,Debit Card,Dissatisfied,No,Groceries,19772,93,Rural,1
CUST1111,32,Female,72230,Teacher,9,499.4,Electronics,Evening,Mobile Wallet,Dissatisfied,No,Groceries,18572,146,Urban,5
CUST1112,68,Female,177673,Manager,7,33.89,Fashion,Afternoon,Debit Card,Very Satisfied,Yes,Fashion,13410,76,Urban,3
CUST1113,24,Male,107239,Engineer,15,124.37,Fashion,Evening,Debit Card,Satisfied,Yes,Groceries,86965,89,Suburban,2
CUST1114,52,Male,112075,Student,1,300.47,Fashion,Morning,Debit Card,Dissatisfied,No,Electronics,88783,71,Rural,2
CUST1115,36,Male,84308,Engineer,2,90.03,Beauty,Evening,Mobile Wallet,Very Satisfied,No,Mixed,67704,117,Suburban,4
CUST1116,24,Female,157024,Teacher,5,274.76,Groceries,Afternoon,Debit Card,Dissatisfied,No,Electronics,75266,41,Rural,6
CUST1117,66,Female,31091,Manager,7,200.99,Electronics,Morning,Credit Card,Very Satisfied,Yes,Groceries,21476,167,Rural,1
CUST1118,26,Male,35247,Freelancer,2,255.2,Technology,Morning,Debit Card,Dissatisfied,No,Electronics,27933,142,Rural,1
CUST1119,32,Female,184814,Student,9,404.14,Fashion,Afternoon,Credit Card,Very Dissatisfied,Yes,Electronics,28865,128,Urban,3
CUST1120,61,Female,108623,Teacher,3,36.24,Beauty,Afternoon,Credit Card,Satisfied,No,Fashion,9369,90,Suburban,5
CUST1121,55,Female,103168,Doctor,7,92.31,Electronics,Evening,Mobile Wallet,Very Satisfied,Yes,Groceries,36555,149,Rural,0
CUST1122,56,Male,89799,Freelancer,11,412.82,Fashion,Evening,Mobile Wallet,Very Dissatisfied,No,Mixed,16054,78,Suburban,5
CUST1123,66,Female,115113,Doctor,5,65.23,Groceries,Evening,Credit Card,Very Satisfied,No,Electronics,47025,45,Suburban,0
CUST1124,22,Male,109693,Manager,10,222.57,Groceries,Afternoon,Cash,Satisfied,No,Electronics,59075,112,Rural,0
CUST1125,33,Male,29300,Student,3,39.57,Groceries,Morning,Mobile Wallet,Very Satisfied,Yes,Fashion,75042,38,Suburban,4
CUST1126,51,Female,104703,Student,13,167.95,Beauty,Morning,Cash,Very Dissatisfied,Yes,Electronics,88410,103,Suburban,2
CUST1127,36,Female,109048,Freelancer,10,296.68,Fashion,Morning,Cash,Neutral,No,Groceries,98443,66,Suburban,2
CUST1128,64,Male,61523,Freelancer,15,378.24,Beauty,Afternoon,Mobile Wallet,Very Satisfied,No,Fashion,92471,61,Urban,4
CUST1129,29,Female,191428,Student,2,145.17,Fashion,Morning,Credit Card,Satisfied,Yes,Mixed,52337,165,Rural,3
CUST1130,35,Female,183989,Student,2,441.29,Technology,Evening,Credit Card,Very Dissatisfied,No,Groceries,99563,168,Urban,6
CUST1131,48,Female,21051,Engineer,4,96.74,Electronics,Evening,Cash,Very Satisfied,Yes,Mixed,5178,135,Rural,1
CUST1132,32,Male,150863,Engineer,5,34.46,Fashion,Morning,Mobile Wallet,Dissatisfied,No,Electronics,78920,115,Urban,6
CUST1133,31,Male,86328,Student,10,224.38,Beauty,Evening,Cash,Very Satisfied,Yes,Fashion,87405,31,Rural,2
CUST1134,43,Female,170140,Doctor,6,418.36,Technology,Afternoon,Debit Card,Very Satisfied,No,Fashion,69900,150,Suburban,6
CUST1135,52,Male,179406,Manager,1,320.65,Fashion,Evening,Debit Card,Neutral,Yes,Mixed,19729,104,Urban,3
CUST1136,52,Female,27891,Freelancer,1,158.21,Electronics,Morning,Credit Card,Very Satisfied,Yes,Mixed,28810,37,Rural,1
CUST1137,21,Male,117572,Teacher,10,106.25,Technology,Evening,Credit Card,Very Dissatisfied,No,Mixed,62857,31,Rural,0
CUST1138,54,Male,26665,Student,10,44.51,Electronics,Morning,Mobile Wallet,Very Satisfied,Yes,Groceries,51171,125,Rural,1
CUST1139,28,Male,175819,Doctor,11,446.02,Beauty,Morning,Mobile Wallet,Very Dissatisfied,No,Electronics,33534,57,Suburban,3
CUST1140,37,Female,141330,Doctor,8,262.3,Beauty,Morning,Credit Card,Dissatisfied,No,Electronics,23805,32,Suburban,7
CUST1141,28,Female,98237,Manager,6,480.77,Fashion,Afternoon,Debit Card,Dissatisfied,No,Electronics,40704,148,Urban,0
CUST1142,19,Male,180273,Doctor,8,171.88,Electronics,Evening,Credit Card,Neutral,No,Fashion,66447,125,Rural,6
CUST1143,38,Male,197815,Doctor,8,433.02,Fashion,Evening,Debit Card,Very Satisfied,No,Electronics,97486,103,Rural,6
CUST1144,65,Female,189039,Teacher,13,435.67,Electronics,Morning,Mobile Wallet,Very Satisfied,No,Mixed,36832,140,Rural,3
CUST1145,69,Female,53807,Engineer,1,91.93,Technology,Evening,Mobile Wallet,Very Dissatisfied,No,Groceries,65829,69,Rural,4
CUST1146,51,Male,64656,Manager,12,185.03,Groceries,Morning,Mobile Wallet,Neutral,Yes,Fashion,20986,126,Rural,5
CUST1147,62,Female,157728,Freelancer,6,401.56,Beauty,Morning,Cash,Neutral,No,Fashion,29870,169,Urban,7
CUST1148,31,Female,77595,Manager,4,268.35,Technology,Morning,Debit Card,Neutral,Yes,Fashion,49264,120,Rural,5
CUST1149,29,Female,99471,Student,5,394.99,Fashion,Morning,Cash,Very Dissatisfied,Yes,Fashion,93389,71,Rural,2
CUST1150,44,Male,123153,Freelancer,7,433.98,Electronics,Evening,Debit Card,Neutral,No,Electronics,52513,76,Rural,0
CUST1151,63,Female,64105,Student,14,225.02,Electronics,Evening,Credit Card,Very Satisfied,Yes,Mixed,73161,31,Rural,4
CUST1152,37,Male,148350,Teacher,9,306.24,Fashion,Afternoon,Cash,Very Dissatisfied,No,Mixed,16152,50,Suburban,7
CUST1153,51,Male,153722,Engineer,8,351.96,Fashion,Morning,Mobile Wallet,Very Dissatisfied,No,Electronics,78831,157,Suburban,6
CUST1154,33,Female,41560,Doctor,4,331.93,Groceries,Morning,Debit Card,Dissatisfied,No,Mixed,35070,58,Suburban,1
CUST1155,45,Female,196155,Engineer,8,65.99,Beauty,Evening,Mobile Wallet,Neutral,No,Electronics,29498,144,Suburban,3
CUST1156,24,Female,189277,Engineer,10,274.93,Fashion,Evening,Credit Card,Neutral,No,Groceries,98317,71,Urban,6
CUST1157,58,Male,93949,Teacher,11,486.56,Electronics,Evening,Debit Card,Very Satisfied,Yes,Electronics,19885,89,Suburban,5
CUST1158,40,Female,160599,Freelancer,2,89.29,Groceries,Evening,Debit Card,Satisfied,No,Electronics,53956,84,Rural,6
CUST1159,29,Male,37375,Doctor,6,165.83,Technology,Afternoon,Credit Card,Neutral,Yes,Fashion,73596,40,Suburban,4
CUST1160,40,Female,163781,Doctor,2,475.26,Beauty,Afternoon,Mobile Wallet,Satisfied,No,Groceries,15577,100,Suburban,7
CUST1161,18,Female,97639,Manager,14,300.06,Beauty,Morning,Credit Card,Very Satisfied,No,Electronics,90810,36,Suburban,2
CUST1162,65,Male,27147,Engineer,5,434.31,Electronics,Morning,Cash,Very Dissatisfied,No,Electronics,87733,82,Suburban,4
CUST1163,64,Female,89542,Manager,13,108.45,Groceries,Morning,Credit Card,Very Dissatisfied,Yes,Mixed,55678,34,Rural,0
CUST1164,46,Male,51862,Doctor,1,296.31,Electronics,Afternoon,Mobile Wallet,Satisfied,Yes,Electronics,6666,164,Suburban,1
CUST1165,68,Female,171244,Doctor,9,469.34,Beauty,Evening,Credit Card,Very Dissatisfied,No,Fashion,91810,90,Urban,6
CUST1166,52,Male,158843,Doctor,3,232.95,Fashion,Morning,Mobile Wallet,Dissatisfied,No,Groceries,50783,129,Rural,6
CUST1167,61,Female,159181,Teacher,7,333.22,Fashion,Evening,Debit Card,Dissatisfied,No,Electronics,51135,146,Urban,6
CUST1168,21,Male,152748,Doctor,6,264.58,Fashion,Evening,Credit Card,Neutral,No,Mixed,62072,143,Suburban,6
CUST1169,47,Male,36371,Freelancer,5,347.13,Beauty,Evening,Credit Card,Satisfied,No,Fashion,72423,40,Rural,4
CUST1170,38,Male,84879,Manager,11,42.53,Technology,Evening,Debit Card,Dissatisfied,Yes,Fashion,67139,55,Urban,4
CUST1171,63,Female,194727,Engineer,4,161.25,Beauty,Afternoon,Mobile Wallet,Very Satisfied,No,Electronics,11395,135,Suburban,3
CUST1172,69,Female,173061,Manager,6,174.04,Technology,Afternoon,Mobile Wallet,Very Satisfied,No,Fashion,41758,51,Suburban,3
CUST1173,19,Female,80113,Student,12,357.73,Groceries,Morning,Debit Card,Dissatisfied,Yes,Fashion,4514,34,Rural,5
CUST1174,61,Female,72214,Freelancer,10,481.33,Beauty,Afternoon,Debit Card,Dissatisfied,Yes,Mixed,98997,127,Suburban,4
CUST1175,35,Male,56214,Freelancer,9,152.0,Groceries,Afternoon,Cash,Very Satisfied,Yes,Mixed,22922,41,Suburban,1
CUST1176,55,Male,45239,Teacher,7,64.41,Fashion,Evening,Cash,Very Dissatisfied,Yes,Electronics,67998,166,Urban,4
CUST1177,23,Female,170763,Manager,14,130.6,Fashion,Evening,Mobile Wallet,Dissatisfied,No,Electronics,73906,180,Rural,6
CUST1178,69,Male,105510,Student,6,202.31,Beauty,Afternoon,Debit Card,Satisfied,Yes,Mixed,50703,97,Rural,0
CUST1179,30,Male,151139,Engineer,10,496.54,Groceries,Afternoon,Mobile Wallet,Very Dissatisfied,Yes,Electronics,12948,164,Suburban,7
CUST1180,69,Female,31792,Doctor,6,156.33,Groceries,Morning,Debit Card,Neutral,Yes,Groceries,19695,114,Rural,1
CUST1181,48,Male,177832,Freelancer,3,481.51,Technology,Evening,Cash,Very Dissatisfied,No,Fashion,9728,140,Urban,3
CUST1182,37,Female,127287,Doctor,2,291.22,Beauty,Evening,Debit Card,Satisfied,No,Electronics,17905,147,Rural,7
CUST1183,29,Male,135020,Manager,11,73.29,Groceries,Evening,Cash,Dissatisfied,Yes,Mixed,62157,100,Urban,0
CUST1184,46,Male,72913,Teacher,6,252.13,Technology,Afternoon,Cash,Very Satisfied,No,Fashion,13945,69,Urban,5
CUST1185,70,Male,54330,Engineer,12,33.26,Electronics,Afternoon,Credit Card,Satisfied,No,Fashion,69604,65,Urban,4
CUST1186,57,Female,91796,Freelancer,11,145.12,Electronics,Evening,Credit Card,Very Dissatisfied,Yes,Fashion,81363,123,Urban,2
CUST1187,22,Female,112498,Student,15,155.09,Groceries,Morning,Mobile Wallet,Dissatisfied,No,Fashion,24732,128,Urban,0
CUST1188,59,Male,89902,Teacher,9,494.39,Technology,Afternoon,Mobile Wallet,Very Satisfied,No,Mixed,45684,37,Suburban,5
CUST1189,48,Female,85995,Student,5,127.37,Fashion,Morning,Mobile Wallet,Neutral,Yes,Groceries,45837,43,Rural,5
CUST1190,51,Male,40906,Teacher,13,278.12,Fashion,Afternoon,Debit Card,Neutral,Yes,Electronics,1745,45,Suburban,1
CUST1191,69,Female,88798,Student,9,466.3,Beauty,Evening,Mobile Wallet,Very Dissatisfied,Yes,Electronics,22148,107,Urban,5
CUST1192,48,Female,79768,Student,3,64.78,Fashion,Evening,Debit Card,Satisfied,No,Fashion,79865,87,Suburban,4
CUST1193,51,Female,97785,Freelancer,4,459.3,Technology,Morning,Cash,Dissatisfied,No,Fashion,99965,61,Suburban,2
CUST1194,67,Female,129351,Student,3,423.34,Groceries,Afternoon,Mobile Wallet,Dissatisfied,No,Mixed,53982,96,Urban,0
CUST1195,69,Male,75624,Teacher,3,142.59,Beauty,Afternoon,Debit Card,Very Dissatisfied,No,Electronics,52855,109,Rural,5
CUST1196,24,Male,39786,Manager,9,371.42,Technology,Evening,Mobile Wallet,Very Dissatisfied,Yes,Electronics,80505,85,Urban,4
CUST1197,61,Female,52798,Engineer,4,379.49,Electronics,Evening,Credit Card,Neutral,No,Electronics,56392,67,Rural,4
CUST1198,45,Female,58700,Engineer,14,413.33,Beauty,Morning,Mobile Wallet,Neutral,Yes,Groceries,1072,109,Suburban,5
CUST1199,23,Female,76191,Teacher,10,425.21,Groceries,Evening,Credit Card,Neutral,No,Groceries,70923,79,Urban,4
CUST1200,53,Male,66226,Engineer,14,328.97,Electronics,Afternoon,Debit Card,Neutral,No,Fashion,26105,81,Urban,5
CUST1201,59,Male,119303,Engineer,15,41.0,Groceries,Morning,Cash,Satisfied,Yes,Fashion,58507,132,Suburban,0
CUST1202,19,Female,93795,Student,2,110.5,Beauty,Morning,Mobile Wallet,Very Dissatisfied,Yes,Groceries,94991,77,Rural,2
CUST1203,58,Female,153276,Engineer,3,379.56,Fashion,Afternoon,Debit Card,Very Dissatisfied,No,Mixed,65489,137,Urban,6
